S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29
50,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,5,None,None
51,None,None,0,0,0,0,0,0,2,None,None,0,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None
52,None,None,0,0,0,0,0,0,2,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
53,None,None,0,0,0,0,0,0,4,None,None,0,None,None,0,None,None,5,None,None,1,None,None,0,None,None,4,None,None
54,None,None,0,0,0,0,0,0,4,None,None,1,None,None,0,None,None,3,None,None,0,None,None,0,None,None,4,None,None
55,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,2,None,None,0,None,None,0,None,None,5,None,None
56,None,None,0,0,0,0,0,0,2,None,None,1,None,None,0,None,None,0,None,None,2,None,None,0,None,None,1,None,None
57,None,None,0,0,0,0,0,0,2,None,None,8,None,None,0,None,None,5,None,None,0,None,None,0,None,None,4,None,None
58,None,None,0,0,0,0,0,0,7,None,None,5,None,None,7,None,None,4,None,None,1,None,None,0,None,None,4,None,None
59,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,4,None,None,0,None,None,0,None,None,4,None,None
60,None,None,0,0,0,0,0,0,5,None,None,4,None,None,1,None,None,4,None,None,4,None,None,0,None,None,3,None,None
61,None,None,0,0,0,0,0,0,35,None,None,22,None,None,11,None,None,9,None,None,9,None,None,0,None,None,6,None,None
62,None,None,0,0,0,0,0,0,14,None,None,15,None,None,7,None,None,4,None,None,6,None,None,0,None,None,3,None,None
63,None,None,0,0,0,0,0,0,13,None,None,13,None,None,8,None,None,4,None,None,6,None,None,0,None,None,3,None,None
64,None,None,0,0,0,0,0,0,20,None,None,14,None,None,8,None,None,4,None,None,5,None,None,0,None,None,3,None,None
65,None,None,0,0,0,0,0,0,12,None,None,11,None,None,6,None,None,3,None,None,4,None,None,0,None,None,2,None,None
66,None,None,0,0,0,0,0,0,16,None,None,9,None,None,6,None,None,3,None,None,4,None,None,0,None,None,2,None,None
67,None,None,0,0,0,0,0,0,17,None,None,11,None,None,7,None,None,3,None,None,3,None,None,0,None,None,2,None,None
68,None,None,0,0,0,0,0,0,9,None,None,6,None,None,3,None,None,4,None,None,5,None,None,0,None,None,3,None,None
69,None,None,0,0,0,0,0,0,4,None,None,3,None,None,2,None,None,1,None,None,4,None,None,0,None,None,4,None,None
70,None,None,0,0,0,0,0,0,4,None,None,21,None,None,12,None,None,6,None,None,8,None,None,0,None,None,4,None,None
71,None,None,0,0,0,0,0,0,27,None,None,21,None,None,11,None,None,6,None,None,8,None,None,0,None,None,4,None,None
72,None,None,0,0,0,0,0,0,3,None,None,5,None,None,3,None,None,6,None,None,6,None,None,0,None,None,4,None,None
73,None,None,0,0,0,0,0,0,3,None,None,3,None,None,1,None,None,2,None,None,4,None,None,0,None,None,4,None,None
74,None,None,0,0,0,0,0,0,10,None,None,1,None,None,0,None,None,9,None,None,0,None,None,0,None,None,8,None,None
75,None,None,0,0,0,0,0,0,4,None,None,6,None,None,0,None,None,14,None,None,6,None,None,0,None,None,10,None,None
76,None,None,0,0,0,0,0,0,4,None,None,2,None,None,0,None,None,3,None,None,1,None,None,0,None,None,3,None,None
77,None,None,0,0,0,0,0,0,11,None,None,9,None,None,3,None,None,3,None,None,3,None,None,0,None,None,3,None,None
78,None,None,0,0,0,0,0,0,2,None,None,1,None,None,0,None,None,1,None,None,1,None,None,0,None,None,1,None,None
79,None,None,0,0,0,0,0,0,2,None,None,6,None,None,0,None,None,1,None,None,4,None,None,0,None,None,3,None,None
80,None,None,0,0,0,0,0,0,4,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,3,None,None
81,None,None,0,0,0,0,0,0,6,None,None,3,None,None,1,None,None,2,None,None,1,None,None,0,None,None,2,None,None
82,None,None,0,0,0,0,0,0,3,None,None,0,None,None,0,None,None,2,None,None,0,None,None,0,None,None,3,None,None
83,None,None,0,0,0,0,0,0,7,None,None,4,None,None,6,None,None,4,None,None,5,None,None,0,None,None,3,None,None
84,None,None,0,0,0,0,0,0,3,None,None,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,3,None,None
85,None,None,0,0,0,0,0,0,12,None,None,8,None,None,7,None,None,4,None,None,3,None,None,0,None,None,3,None,None
86,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,1,None,None,0,None,None,0,None,None,1,None,None
87,None,None,0,0,0,0,0,0,6,None,None,6,None,None,1,None,None,3,None,None,2,None,None,0,None,None,2,None,None
88,None,None,0,0,0,0,0,0,9,None,None,8,None,None,7,None,None,4,None,None,3,None,None,0,None,None,3,None,None
89,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,1,None,None,1,None,None,0,None,None,2,None,None
90,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,2,None,None
91,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
92,None,None,0,0,0,0,0,0,3,None,None,0,None,None,0,None,None,6,None,None,1,None,None,0,None,None,4,None,None
93,None,None,0,0,0,0,0,0,2,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,4,None,None
94,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,2,None,None,1,None,None,0,None,None,3,None,None
95,None,None,0,0,0,0,0,0,2,None,None,5,None,None,0,None,None,0,None,None,0,None,None,0,None,None,3,None,None
96,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,6,None,None,1,None,None,0,None,None,4,None,None
97,None,None,0,0,0,0,0,0,1,None,None,5,None,None,0,None,None,6,None,None,2,None,None,0,None,None,3,None,None
98,None,None,0,0,0,0,0,0,3,None,None,3,None,None,1,None,None,5,None,None,0,None,None,0,None,None,3,None,None
99,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,5,None,None,0,None,None,0,None,None,3,None,None
100,None,None,0,0,0,0,0,0,3,None,None,0,None,None,0,None,None,4,None,None,0,None,None,0,None,None,1,None,None
101,None,None,0,0,0,0,0,0,1,None,None,2,None,None,0,None,None,3,None,None,0,None,None,0,None,None,3,None,None
102,None,None,0,0,0,0,0,0,3,None,None,8,None,None,1,None,None,2,None,None,2,None,None,0,None,None,2,None,None
103,None,None,0,0,0,0,0,0,1,None,None,1,None,None,1,None,None,1,None,None,0,None,None,0,None,None,1,None,None
104,None,None,0,0,0,0,0,0,2,None,None,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,1,None,None
105,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,2,None,None
106,None,None,0,0,0,0,0,0,4,None,None,11,None,None,7,None,None,3,None,None,4,None,None,0,None,None,2,None,None
107,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
108,None,None,0,0,0,0,0,0,2,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,3,None,None
109,None,None,0,0,0,0,0,0,1,None,None,2,None,None,1,None,None,3,None,None,1,None,None,0,None,None,2,None,None
110,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,1,None,None,3,None,None,0,None,None,1,None,None
111,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,1,None,None,0,None,None,0,None,None,0,None,None
112,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
113,None,None,0,0,0,0,0,0,2,None,None,0,None,None,0,None,None,0,None,None,1,None,None,0,None,None,2,None,None
114,None,None,0,0,0,0,0,0,2,None,None,1,None,None,0,None,None,3,None,None,1,None,None,0,None,None,2,None,None
115,None,None,0,0,0,0,0,0,4,None,None,2,None,None,0,None,None,0,None,None,0,None,None,0,None,None,2,None,None
116,None,None,0,0,0,0,0,0,2,None,None,4,None,None,2,None,None,5,None,None,3,None,None,0,None,None,3,None,None
117,None,None,0,0,0,0,0,0,6,None,None,1,None,None,2,None,None,1,None,None,1,None,None,0,None,None,4,None,None
118,None,None,0,0,0,0,0,0,3,None,None,2,None,None,1,None,None,5,None,None,3,None,None,0,None,None,3,None,None
119,None,None,0,0,0,0,0,0,5,None,None,2,None,None,0,None,None,1,None,None,1,None,None,0,None,None,2,None,None
120,None,None,0,0,0,0,0,0,2,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,6,None,None
121,None,None,0,0,0,0,0,0,2,None,None,3,None,None,0,None,None,1,None,None,0,None,None,0,None,None,3,None,None
122,None,None,0,0,0,0,0,0,1,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,1,None,None
123,None,None,0,0,0,0,0,0,4,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,1,None,None
124,None,None,0,0,0,0,0,0,2,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None
125,None,None,0,0,0,0,0,0,10,None,None,2,None,None,3,None,None,4,None,None,2,None,None,0,None,None,2,None,None
126,None,None,0,0,0,0,0,0,1,None,None,0,None,None,0,None,None,0,None,None,1,None,None,0,None,None,2,None,None
127,None,None,0,0,0,0,0,0,6,None,None,3,None,None,1,None,None,3,None,None,4,None,None,0,None,None,2,None,None
