S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
68,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Computer Science,2,1,0,0,2,0,1
69,Atma Ram Sanatan Dharma College,B.Sc (Prog.) Physical Science with Chemistry,2,8,0,5,0,0,4
70,Atma Ram Sanatan Dharma College,B.Sc (Prog.) Physical Science with Electronics,7,5,7,4,1,0,4
71,Atma Ram Sanatan Dharma College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,1,1,0,4,0,0,4
72,Atma Ram Sanatan Dharma College,B.Sc (Prog.) Applied Physical Sciences with Industrial Chemistry,5,4,1,4,4,0,3
73,Atma Ram Sanatan Dharma College,Sc./Economics/Mathematics/Comp. App./History)),0,0,0,1,0,0,1
74,Atma Ram Sanatan Dharma College,(English/Hindi/Sanskrit/Political Sc./Economics/Mathematics/Comp. App./History)),0,0,0,0,0,0,1
75,Atma Ram Sanatan Dharma College,Sc./Economics/Mathematics/Comp. App./History)),1,0,0,1,0,0,1
76,Atma Ram Sanatan Dharma College,Sc./Economics/Mathematics/Comp. App./History)),0,1,0,0,0,0,0
77,Atma Ram Sanatan Dharma College,Sc./Economics/Mathematics/Comp. App./History)),0,0,0,0,0,0,0
78,Atma Ram Sanatan Dharma College,B.A Program (Any two disciplines from (History/Political Sc./Economics)),1,0,1,0,0,0,0
79,Bhagini Nivedita College (W),B.Com,35,22,11,9,9,0,6
80,Bhagini Nivedita College (W),B.A. (Hons.) Hindi,14,15,7,4,6,0,3
81,Bhagini Nivedita College (W),B.A. (Hons.) History,13,13,8,4,6,0,3
82,Bhagini Nivedita College (W),B.Sc (Hons.) Physics,20,14,8,4,5,0,3
83,Bhagini Nivedita College (W),B.Sc (Hons.) Home Science,12,11,6,3,4,0,2
84,Bhagini Nivedita College (W),B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,16,9,6,3,4,0,2
85,Bhagini Nivedita College (W),B.Sc (Prog.) Physical Science with Chemistry,17,11,7,3,3,0,2
86,Bhagini Nivedita College (W),B.A. (Hons.) Political Science,9,6,3,4,5,0,3
87,Bhagini Nivedita College (W),B.A Program (History + Political Science),11,12,3,4,5,0,3
88,Bhagini Nivedita College (W),B.A Program (Economics + Political Science),19,10,5,3,4,0,3
89,Bhagini Nivedita College (W),B.A Program (Sanskrit + Political Science),16,13,7,4,5,0,2
90,Bhagini Nivedita College (W),B.A Program (Food Technology (FT) + Political Science),6,6,4,2,3,0,1
91,Bhagini Nivedita College (W),B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),7,6,3,2,3,0,1
92,Bhagini Nivedita College (W),B.A Program (Computer Applications + Political Science),3,3,1,1,1,0,1
93,Bhagini Nivedita College (W),B.A Program (Office Management & Secretarial Practice (OMSP) + Political Science),3,2,0,1,1,0,1
94,Bhagini Nivedita College (W),B.A Program (Music + Political Science),4,3,2,1,1,0,1
95,Bhagini Nivedita College (W),B.A Program (Economics + History),10,9,5,3,4,0,2
96,Bhagini Nivedita College (W),B.A Program (Sanskrit + History),8,6,4,2,2,0,1
97,Bhagini Nivedita College (W),B.A Program (Food Technology (FT) + History),6,4,3,2,2,0,1
98,Bhagini Nivedita College (W),B.A Program (History + Music),5,3,2,1,1,0,1
99,Bhagini Nivedita College (W),B.A Program (Computer Applications + Economics),13,8,6,3,3,0,2
100,Bhagini Nivedita College (W),B.A Program (Economics + OMSP),6,3,2,1,2,0,1
101,Bhagini Nivedita College (W),B.A Program (Political Science + Nutrition and Health Education (NHE)),7,7,4,2,3,0,1
102,Bhagini Nivedita College (W),B.A Program (Political Science + Apparel Design & Construction (ADC)),8,6,4,2,3,0,1
103,Bhagini Nivedita College (W),B.A Program (History + Nutrition and Health Education (NHE)),5,3,2,2,2,0,1
104,Bhagini Nivedita College (W),B.A Program (History + Apparel Design & Construction (ADC)),8,5,4,2,2,0,1
105,Bhagini Nivedita College (W),B.A Program (History + Human Development and Family Empowerment (HDFE)),6,6,4,2,2,0,1
106,Bharati College (W),B.A. (Hons.) English,4,3,2,1,4,0,4
107,Bharati College (W),B.A. (Hons.) Hindi,4,21,12,6,8,0,4
108,Bharati College (W),B.A. (Hons.) Sanskrit,27,21,11,6,8,0,4
109,Bharati College (W),B.A. (Hons.) History,3,5,3,6,6,0,4
110,Bharati College (W),B.A. (Hons.) Political Science,3,3,1,2,4,0,4
111,Bharati College (W),B.Com (Hons.),10,1,0,9,0,0,8
112,Bharati College (W),B.Com,4,6,0,14,6,0,10
113,Bharati College (W),B.A. (Hons.) Journalism,4,2,0,3,1,0,3
