0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,S. NO.,,,NAME OF THE COLLEGE,,,NAME OF THE PROGRAM,,,UR,,,OBC,,,SC,,,ST,,,EWS,,,SIKH,,,PwBD,
1,None,None,Acharya Narendra Dev College,None,None,B.Com (Hons.),None,None,4,None,None,0,None,None,0,None,None,4,None,None,0,None,None,0,None,None,6,None,None
2,None,None,Acharya Narendra Dev College,None,None,B.Sc (Hons.) Biomedical Science,None,None,0,None,None,2,None,None,0,None,None,0,None,None,0,None,None,0,None,None,1,None,None
3,None,None,Acharya Narendra Dev College,None,None,B.Sc (Hons.) Botany,None,None,0,None,None,7,None,None,1,None,None,1,None,None,3,None,None,0,None,None,2,None,None
4,None,None,Acharya Narendra Dev College,None,None,B.Sc (Hons.) Chemistry,None,None,2,None,None,5,None,None,5,None,None,5,None,None,2,None,None,0,None,None,3,None,None
5,None,None,Acharya Narendra Dev College,None,None,B.Sc (Hons.) Computer Science,None,None,1,None,None,0,None,None,0,None,None,0,None,None,0,None,None,0,None,None,3,None,None
6,None,None,Acharya Narendra Dev College,None,None,B.Sc (Hons.) Electronics,None,None,8,None,None,5,None,None,3,None,None,5,None,None,2,None,None,0,None,None,3,None,None
7,None,None,Acharya Narendra Dev College,None,None,B.Sc (Hons.) Physics,None,None,7,None,None,8,None,None,2,None,None,4,None,None,2,None,None,0,None,None,3,None,None
8,None,None,Acharya Narendra Dev College,None,None,B.Sc (Hons.) Zoology,None,None,3,None,None,2,None,None,1,None,None,1,None,None,1,None,None,0,None,None,2,None,None
9,None,None,Acharya Narendra Dev College,None,None,B.Sc (Prog.) Life Science,None,None,2,None,None,1,None,None,3,None,None,2,None,None,3,None,None,0,None,None,3,None,None
10,None,None,Acharya Narendra Dev College,None,None,B.Sc (Hons.) Mathematics,None,None,0,None,None,1,None,None,1,None,None,3,None,None,0,None,None,0,None,None,3,None,None
11,None,None,Acharya Narendra Dev College,None,None,B.Sc (Prog.) Physical Science with Chemistry,None,None,6,None,None,3,None,None,3,None,None,2,None,None,2,None,None,0,None,None,3,None,None
