S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
960,Sri Aurobindo College (Day),B.Com (Hons.),1,0,0,1,0,0,4
961,Sri Aurobindo College (Day),B.Sc (Prog.) Life Science,1,4,2,2,4,0,3
962,Sri Aurobindo College (Day),B.Sc (Hons.) Electronics,6,2,2,3,0,0,2
963,Sri Aurobindo College (Day),B.Sc (Prog.) Physical Science with Chemistry,15,10,15,9,11,0,6
964,Sri Aurobindo College (Evening),B.A. (Hons.) English,8,4,0,2,1,0,2
965,Sri Aurobindo College (Evening),B.A. (Hons.) Economics,6,3,0,4,0,0,2
966,Sri Aurobindo College (Evening),B.Com,5,0,0,22,0,0,11
967,Sri Aurobindo College (Evening),B.Com (Hons.),1,0,0,7,0,0,4
968,Sri Aurobindo College (Evening),B.A. (Hons.) Hindi,7,15,9,4,6,0,2
969,Sri Aurobindo College (Evening),B.A. (Hons.) Applied Psychology,2,2,0,0,6,0,2
970,Sri Guru Gobind Singh College of,,0,0,0,0,0,0,0
971,Commerce,B.Com (Hons.),3,0,0,0,0,0,0
972,Sri Guru Gobind Singh College of,,0,0,0,0,0,0,0
973,Commerce,B.Com,2,0,0,0,0,0,1
974,Sri Guru Gobind Singh College of,,0,0,0,0,0,0,0
975,Commerce,B.A. (Hons.) Economics,1,0,0,0,0,0,4
976,Sri Guru Gobind Singh College of,,0,0,0,0,0,0,0
977,Commerce,B.Sc (Hons.) Computer Science,1,0,0,0,0,0,2
978,Sri Guru Gobind Singh College of,,0,0,0,0,0,0,0
979,Commerce,B.A. (Hons.) Business Economics,0,0,0,0,0,0,1
980,Sri Guru Gobind Singh College of,,0,0,0,0,0,0,0
981,Commerce,Bachelor of Management Studies (BMS),1,0,0,0,0,0,0
982,Sri Guru Gobind Singh College of,,0,0,0,0,0,0,0
983,Commerce,B.A. (Hons.) Punjabi,0,0,0,0,0,12,2
984,Sri Guru Nanak Dev Khalsa College,B.Com (Hons.),4,0,0,0,0,0,4
985,Sri Guru Nanak Dev Khalsa College,B.A. (Hons.) English,1,0,0,0,0,1,1
986,Sri Guru Nanak Dev Khalsa College,B.A. (Hons.) Hindi,1,0,0,0,0,15,2
987,Sri Guru Nanak Dev Khalsa College,B.A. (Hons.) Punjabi,13,0,0,0,0,14,2
988,Sri Guru Nanak Dev Khalsa College,B.A. (Hons.) History,1,0,0,0,0,4,0
989,Sri Guru Nanak Dev Khalsa College,B.A. (Hons.) Political Science,5,0,0,0,0,2,2
990,Sri Guru Nanak Dev Khalsa College,B.A. (Hons.) Hindi Patrakarita,8,0,0,0,0,20,2
991,Sri Guru Nanak Dev Khalsa College,B.Com,7,0,0,0,0,0,9
992,Sri Guru Nanak Dev Khalsa College,B.A. (Hons.) Business Economics,7,0,0,0,0,1,2
993,Sri Guru Nanak Dev Khalsa College,B.Sc (Hons.) Mathematics,3,0,0,0,0,21,2
994,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
995,College,B.A. (Hons.) English,0,0,0,0,0,0,0
996,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
997,College,B.A. (Hons.) Hindi,0,0,0,0,0,19,2
998,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
999,College,B.A. (Hons.) Punjabi,0,0,0,0,0,10,1
1000,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1001,College,B.Sc (Hons.) Computer Science,1,0,0,0,0,0,1
1002,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1003,College,B.A. (Hons.) Economics,0,0,0,0,0,0,2
1004,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1005,College,B.A. (Hons.) History,1,0,0,0,0,1,0
1006,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1007,College,B.A. (Hons.) Political Science,2,0,0,0,0,0,0
1008,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1009,College,B.Com (Hons.),3,0,0,0,0,1,0
1010,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1011,College,B.Com,0,0,0,0,0,1,0
1012,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1013,College,B.Sc (Hons.) Botany,1,0,0,0,0,7,2
1014,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1015,College,B.Sc (Hons.) Chemistry,1,0,0,0,0,3,1
1016,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1017,College,B.Sc (Hons.) Electronics,1,0,0,0,0,5,1
1018,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1019,College,B.Sc (Hons.) Mathematics,3,0,0,0,0,0,2
1020,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1021,College,B.Sc (Hons.) Physics,0,0,0,0,0,11,2
1022,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1023,College,B.Sc (Hons.) Zoology,3,0,0,0,0,3,1
1024,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1025,College,B.Sc (Prog.) Physical Science with Chemistry,0,0,0,0,0,18,2
1026,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1027,College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,1,0,0,0,0,2,1
1028,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1029,College,B.A. (Hons.) Business Economics,1,0,0,0,0,0,0
1030,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1031,College,B.Sc (Prog.) Life Science,0,0,0,0,0,0,2
1032,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1033,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1034,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1035,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1036,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1037,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1038,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1039,Sri Guru Tegh Bahadur Khalsa,,0,0,0,0,0,0,0
1040,Sri Venketeswara College,B.Com,3,2,1,0,0,0,0
1041,Sri Venketeswara College,B.Com (Hons.),0,0,0,0,0,0,0
1042,Sri Venketeswara College,B.A. (Hons.) English,1,0,0,0,0,0,0
1043,Sri Venketeswara College,B.A. (Hons.) Hindi,0,0,0,4,5,0,2
1044,Sri Venketeswara College,B.A. (Hons.) Sanskrit,2,6,1,4,5,0,2
1045,Sri Venketeswara College,B.A. (Hons.) Economics,0,0,0,0,1,0,1
1046,Sri Venketeswara College,B.A. (Hons.) History,0,0,0,0,0,0,1
1047,Sri Venketeswara College,B.A. (Hons.) Political Science,0,0,0,0,0,0,0
1048,Sri Venketeswara College,B.A. (Hons.) Sociology,1,0,0,0,0,0,0
1049,Sri Venketeswara College,B.Sc (Prog.) Life Science,1,0,0,0,0,0,9
1050,Sri Venketeswara College,B.Sc (Hons.) Physics,1,0,0,1,1,0,2
1051,Sri Venketeswara College,B.Sc (Hons.) Chemistry,0,2,0,2,0,0,4
1052,Sri Venketeswara College,B.Sc (Hons.) Botany,1,1,0,1,0,0,2
1053,Sri Venketeswara College,B.Sc (Hons.) Zoology,1,0,0,0,0,0,1
1054,Sri Venketeswara College,B.Sc (Hons.) Biological Sciences,3,0,0,0,0,0,1
1055,Sri Venketeswara College,B.Sc (Hons.) Bio-Chemistry,2,1,0,2,1,0,0
1056,Sri Venketeswara College,B.Sc (Hons.) Electronics,3,2,0,2,0,0,2
1057,Sri Venketeswara College,B.Sc (Hons.) Mathematics,5,3,0,1,1,0,7
1058,Sri Venketeswara College,B.Sc (Hons.) Statistics,0,0,0,0,0,0,2
1059,St. Stephen's College,B.A. (Hons.) English,0,0,0,0,0,0,0
1060,St. Stephen's College,B.A. (Hons.) Economics,0,0,0,0,0,0,0
1061,St. Stephen's College,B.A. (Hons.) History,0,0,0,0,0,0,0
1062,St. Stephen's College,B.A. (Hons.) Philosophy,0,0,0,0,0,0,0
1063,St. Stephen's College,B.A. (Hons.) Sanskrit,0,0,1,1,0,0,0
1064,St. Stephen's College,B.Sc (Hons.) Mathematics,0,0,0,0,0,0,0
1065,St. Stephen's College,B.Sc (Hons.) Physics,1,0,0,0,0,0,1
1066,St. Stephen's College,B.Sc (Hons.) Chemistry,0,0,0,0,0,0,2
1067,St. Stephen's College,B.Sc (Prog.) Physical Science with Chemistry,0,0,0,0,0,0,1
1068,St. Stephen's College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,0,0,0,0,0,0,0
1069,St. Stephen's College,Science/Philosophy)),0,0,0,0,0,0,0
1070,St. Stephen's College,Science/Philosophy)),0,0,0,0,0,0,0
1071,Swami Shardhanand College,B.Sc (Prog.) Life Science,25,17,7,6,3,0,4
1072,Swami Shardhanand College,B.A. (Hons.) English,11,13,6,5,3,0,1
1073,Swami Shardhanand College,B.A. (Hons.) Geography,2,5,1,0,2,0,3
1074,Swami Shardhanand College,B.A. (Hons.) Hindi,15,21,11,6,4,0,3
1075,Swami Shardhanand College,B.A. (Hons.) History,2,7,0,5,1,0,3
1076,Swami Shardhanand College,B.Com,48,35,0,32,9,0,18
1077,Swami Shardhanand College,B.Com (Hons.),6,4,0,7,2,0,4
1078,Swami Shardhanand College,B.Sc (Prog.) Applied Life Science,5,8,4,2,1,0,1
1079,Swami Shardhanand College,B.Sc (Hons.) Botany,9,7,3,1,1,0,1
1080,Swami Shardhanand College,B.Sc (Hons.) Microbiology,0,0,2,1,0,0,0
1081,Swami Shardhanand College,B.Sc (Hons.) Physics,12,6,4,3,1,0,1
1082,Swami Shardhanand College,B.Sc (Hons.) Chemistry,9,5,3,2,1,0,1
1083,Swami Shardhanand College,B.Sc (Hons.) Zoology,4,5,3,1,0,0,1
1084,Swami Shardhanand College,B.Sc (Prog.) Physical Science with Chemistry,31,19,16,9,3,0,5
1085,Vivekananda College (W),B.Com,3,5,0,9,4,0,7
1086,Vivekananda College (W),B.Com (Hons.),0,1,0,6,0,0,5
1087,Vivekananda College (W),B.A. (Hons.) Applied Psychology,1,0,0,0,0,0,1
1088,Vivekananda College (W),B.A. (Hons.) English,0,5,0,1,2,0,3
1089,Vivekananda College (W),B.A. (Hons.) Hindi,7,16,8,4,6,0,3
1090,Vivekananda College (W),B.A. (Hons.) Sanskrit,16,16,8,4,6,0,3
1091,Vivekananda College (W),B.A. (Hons.) History,7,3,2,2,2,0,2
1092,Vivekananda College (W),B.A. (Hons.) Political Science,3,3,0,0,0,0,3
1093,Vivekananda College (W),B.Sc (Hons.) Mathematics,7,7,2,4,3,0,3
1094,Vivekananda College (W),B.Sc (Hons.) Home Science,4,4,3,1,3,0,2
1095,Zakir Husain Delhi College,B.A. (Hons.) Arabic,5,6,4,2,2,0,1
1096,Zakir Husain Delhi College,B.A. (Hons.) Bengali,9,8,4,2,3,0,1
1097,Zakir Husain Delhi College,B.A. (Hons.) Economics,5,0,1,4,0,0,2
1098,Zakir Husain Delhi College,B.A. (Hons.) English,2,2,0,1,1,0,2
1099,Zakir Husain Delhi College,B.A. (Hons.) Hindi,0,11,6,4,6,0,3
1100,Zakir Husain Delhi College,B.A. (Hons.) History,2,2,0,1,2,0,3
